state_ut,district,total_crimes,risk_score,risk_label,crime_rate
Bihar,SARAN,11954.0,0.00046752876979781353,medium,0.0021966096063908585
Bihar,SHEIKHPURA,2477.0,9.687709242004217e-05,medium,0.00045516161912582877
Bihar,SHEOHAR,1656.0,6.476724466999993e-05,low,0.0003042986036626453
Bihar,SITAMARHI,11422.0,0.00044672190134102614,low,0.0020988518424122794
Bihar,SIWAN,11388.0,0.00044539213907123144,low,0.0020926041657670317
Bihar,SUPAUL,6278.0,0.0002455366920520891,low,0.001153615117025415
Bihar,TOTAL,8691.0,0.0008497767563812944,high,0.0015970164036425425
Bihar,VAISHALI,12491.0,0.0004885311915295707,medium,0.00229528614634668
Bihar,ZZ TOTAL,358955.0,0.023398275272262306,high,0.06595984618220099
CHANDIGARH,CHANDIGARH,102367.0,0.004003640419766838,high,0.018810468092472228
CHANDIGARH,TOTAL,102367.0,0.004003640419766838,high,0.018810468092472228
CHHATTISGARH,BALOD,2523.0,9.867618254976441e-05,low,0.0004636143581164578
CHHATTISGARH,BALODA BAZAR,5410.0,0.0002115886435173307,low,0.000994115607376154
CHHATTISGARH,BALRAMPUR,18582.0,0.0007267541910977892,medium,0.0034145390418232335
CHHATTISGARH,BEMETARA,3002.0,0.00011741018629187185,low,0.0005516330967362689
CHHATTISGARH,BIJAPUR,19.0,3.715512224426325e-06,low,3.491348713520689e-06
CHHATTISGARH,BILASPUR,146755.0,0.005739684173638793,high,0.026966993708038352
CHHATTISGARH,BIZAPUR,8271.0,0.00032348422745505405,medium,0.0015198392215541904
CHHATTISGARH,DANTEWADA,95.0,6.192520374043875e-06,low,1.7456743567603445e-05
CHHATTISGARH,DANTEWARA,17491.0,0.0006840844664993773,medium,0.003214062123588967
CHHATTISGARH,DHAMTARI,36266.0,0.0014183870140110012,high,0.0066640659181337525
CHHATTISGARH,DURG,197675.0,0.007731198725931303,high,0.0363238082602738
CHHATTISGARH,GARIYABAND,3445.0,0.00013473620645419675,low,0.0006330366483199354
CHHATTISGARH,GRP RAIPUR,10872.0,0.00042521104109434737,low,0.0019977864849156277
CHHATTISGARH,JAGDALPUR,54490.0,0.002131139590620952,high,0.01001282059998644
CHHATTISGARH,JANJGIR,73249.0,0.0028648163676526723,high,0.01345988431140405
CHHATTISGARH,JASHPUR,28863.0,0.0011288508350907054,high,0.005303726206228823
